                        thomas algorithm                thomas algorithm special                                     LU
                                      10                                      10                                      10
                                      16                                      16                                      16
                                      10                                      10                                      10
   3.2199999999999999813438621674988e-07   2.7300000000000002258634360270684e-07   0.00012604299999999999922287163833801
   2.3799999999999998711246824642518e-07   2.0900000000000000536543194856048e-07   3.3124000000000003375751067569155e-05
   2.4299999999999999218016472589399e-07   2.2299999999999999837915840971564e-07   3.0507999999999999962002616982204e-05
   2.4900000000000001943722418261407e-07   2.2299999999999999837915840971564e-07   2.8753999999999999475979936547354e-05
    2.479999999999999972478612053628e-07   2.0699999999999998745648559575483e-07   2.3762999999999999319608492975853e-05
   2.3599999999999999567330149531641e-07   2.2399999999999999409874178527002e-07     2.34530000000000005935980873506e-05
   2.3699999999999999139288487087079e-07    2.080000000000000096458485730061e-07   2.4873000000000000550516229824716e-05
   2.4699999999999997505849822811153e-07   2.0900000000000000536543194856048e-07   2.5970999999999999185811005997238e-05
   2.4499999999999998361933147700276e-07   2.0699999999999998745648559575483e-07   2.3204000000000000097704830337442e-05
    2.479999999999999972478612053628e-07    2.080000000000000096458485730061e-07    2.485399999999999954658318201961e-05
                                     100                                     100                                     100
   2.0760000000000001135801522278435e-06   1.7639999999999999667624813598499e-06   0.00056095400000000000990951765089676
   2.0420000000000001002956398488131e-06   1.7469999999999999601202251703347e-06   0.00044002599999999999135988359988403
   2.0420000000000001002956398488131e-06    1.768000000000000055519933268855e-06    0.0003881749999999999892370816656495
   2.0459999999999999772948549442431e-06   1.7450000000000000216206176226197e-06   0.00040330999999999998578345539179679
   4.7199999999999997017077930927531e-06   1.7630000000000001033917959927799e-06   0.00036746800000000002638794738274441
   2.0470000000000000524237771248881e-06   1.7620000000000000282628738121349e-06   0.00042899799999999998784822041741904
   2.0430000000000001754245620294581e-06   1.7630000000000001033917959927799e-06    0.0004030290000000000066003591481234
   2.0470000000000000524237771248881e-06   1.7570000000000000761347365360598e-06   0.00044099200000000002242980801092642
   2.0430000000000001754245620294581e-06   1.7540000000000000625062068076998e-06   0.00043576500000000001301334040526569
    2.043999999999999827037010582953e-06   1.7579999999999999395054219031298e-06   0.00049293099999999994646066037162768
                                     500                                     500                                     500
