   rho          eigenvalue
   0.1          1008.54347
   0.3         117.7151366
   0.5         44.36668038
   0.7         23.71294043
   0.9         15.07833169
   1.1          10.6782123
   1.3         8.164616656
   1.5         6.627679371
   1.7         5.652039917
   1.9         5.023868695
   2.1         4.621791225
   2.3         4.370734151
   2.5         4.220645121
   2.7         4.136300539
   2.9         4.092494234
   3.1          4.07175294
   3.3         4.062878513
   3.5         4.059457814
   3.7         4.058266163
   3.9         4.057885657
   4.1         4.057768825
   4.3         4.057728671
   4.5         4.057708271
   4.7         4.057692085
   4.9         4.057676289
   5.1         4.057660033
   5.3         4.057643148
   5.5         4.057625603
   5.7         4.057607393
   5.9         4.057588519
   6.1         4.057568981
   6.3         4.057548781
   6.5         4.057527919
   6.7         4.057506395
   6.9          4.05748421
