8 60 1
          calculated               exact               error             rho_max                  n
         10.10086161                   3         7.100861609                   1                 400
         39.60104955                   7         32.60104955                   1                 400
         88.70696097                  11         77.70696097                   1                 400
          157.443671                  15          142.443671                   1                 400
         245.8102269                  19         226.8102269                   1                 400
         353.8019947                  23         330.8019947                   1                 400
         481.4126144                  27         454.4126144                   1                 400
          628.634365                  31          597.634365                   1                 400
          8.45476824                   3          5.45476824                 1.1                 400
          32.8510793                   7          25.8510793                 1.1                 400
         73.43708767                  11         62.43708767                 1.1                 400
          130.245164                  15          115.245164                 1.1                 400
         203.2757746                  19         184.2757746                 1.1                 400
         292.5253837                  23         269.5253837                 1.1                 400
         397.9888334                  27         370.9888334                 1.1                 400
         519.6597833                  31         488.6597833                 1.1                 400
         7.221871278                   3         4.221871278                 1.2                 400
         27.73983545                   7         20.73983545                 1.2                 400
         61.84619187                  11         50.84619187                 1.2                 400
         109.5816915                  15         94.58169155                 1.2                 400
         170.9481131                  19         151.9481131                 1.2                 400
         245.9428024                  23         222.9428024                 1.2                 400
         334.5615303                  27         307.5615303                 1.2                 400
         436.7990121                  31         405.7990121                 1.2                 400
         6.281390549                   3         3.281390549                 1.3                 400
         23.78505775                   7         16.78505775                 1.3                 400
         52.84913561                  11         41.84913561                 1.3                 400
         93.52414705                  15         78.52414705                 1.3                 400
         145.8131314                  19         126.8131314                 1.3                 400
         209.7141639                  23         186.7141639                 1.3                 400
         285.2237507                  27         258.2237507                 1.3                 400
         372.3374333                  31         341.3374333                 1.3                 400
         5.553951001                   3         2.553951001                 1.4                 400
         20.67033111                   7         13.67033111                 1.4                 400
         45.73390629                  11         34.73390629                 1.4                 400
          80.8067225                  15          65.8067225                 1.4                 400
         125.8930695                  19         106.8930695                 1.4                 400
         180.9916396                  23         157.9916396                 1.4                 400
         246.0995324                  27         219.0995324                 1.4                 400
         321.2129483                  31         290.2129483                 1.4                 400
         4.985575687                   3         1.985575687                 1.5                 400
         18.18108753                   7         11.18108753                 1.5                 400
         40.01762625                  11         29.01762625                 1.5                 400
         70.57093305                  15         55.57093305                 1.5                 400
         109.8465734                  19         90.84657343                 1.5                 400
         157.8437705                  23         134.8437705                 1.5                 400
          214.560109                  27          187.560109                 1.5                 400
         279.9923229                  31         248.9923229                 1.5                 400
          4.53844576                   3          1.53844576                 1.6                 400
         16.16767193                   7         9.167671926                 1.6                 400
         35.36345707                  11         24.36345707                 1.6                 400
          62.2178949                  15          47.2178949                 1.6                 400
         96.73788958                  19         77.73788958                 1.6                 400
         138.9231246                  23         115.9231246                 1.6                 400
         188.7715842                  27         161.7715842                 1.6                 400
          246.280439                  31          215.280439                 1.6                 400
         4.185344894                   3         1.185344894                 1.7                 400
         14.52313877                   7         7.523138769                 1.7                 400
         31.53065128                  11         20.53065128                 1.7                 400
          55.3195298                  15          40.3195298                 1.7                 400
         85.89812664                  19         66.89812664                 1.7                 400
         123.2665251                  23         100.2665251                 1.7                 400
