8 50 29
          calculated               exact               error             rho_max                  n
         2.888359052                   3        0.1116409481                   5                 100
         6.828949349                   7        0.1710506507                   5                 100
         10.78127617                  11        0.2187238316                   5                 100
         14.74263022                  15        0.2573697765                   5                 100
          18.7580238                  19        0.2419761988                   5                 100
         23.02723539                  23        0.0272353883                   5                 100
         27.86519119                  27        0.8651911914                   5                 100
         33.45726692                  31         2.457266918                   5                 100
         2.886151149                   3        0.1138488509                 5.1                 100
         6.825492596                   7        0.1745074045                 5.1                 100
         10.77666818                  11        0.2233318213                 5.1                 100
         14.73478768                  15        0.2652123247                 5.1                 100
         18.72656732                  19        0.2734326776                 5.1                 100
         22.90185875                  23       0.09814125146                 5.1                 100
         27.55626745                  27        0.5562674548                 5.1                 100
         32.91038441                  31         1.910384406                 5.1                 100
         2.883944245                   3        0.1160557546                 5.2                 100
          6.82203522                   7        0.1779647798                 5.2                 100
         10.77209939                  11        0.2279006145                 5.2                 100
          14.7279924                  15        0.2720076023                 5.2                 100
         18.70435963                  19        0.2956403715                 5.2                 100
         22.80789323                  23        0.1921067653                 5.2                 100
         27.30137701                  27        0.3013770141                 5.2                 100
         32.43276893                  31         1.432768935                 5.2                 100
          2.88173834                   3        0.1182616595                 5.3                 100
         6.818576859                   7        0.1814231408                 5.3                 100
         10.76754683                  11        0.2324531708                 5.3                 100
          14.7217777                  15        0.2782222971                 5.3                 100
         18.68833912                  19          0.31166088                 5.3                 100
         22.73927953                  23          0.26072047                 5.3                 100
         27.09561563                  27       0.09561563292                 5.3                 100
         32.02050192                  31         1.020501924                 5.3                 100
         2.879533435                   3        0.1204665651                 5.4                 100
         6.815117353                   7        0.1848826465                 5.4                 100
         10.76299903                  11        0.2370009682                 5.4                 100
         14.71587013                  15        0.2841298664                 5.4                 100
         18.67626033                  19        0.3237396674                 5.4                 100
         22.69025397                  23        0.3097460273                 5.4                 100
         26.93358904                  27       0.06641095812                 5.4                 100
         31.66970464                  31        0.6697046353                 5.4                 100
          2.87732953                   3        0.1226704704                 5.5                 100
         6.811656637                   7        0.1883433632                 5.5                 100
         10.75845044                  11        0.2415495625                 5.5                 100
         14.71011633                  15         0.289883668                 5.5                 100
         18.66657378                  19        0.3334262187                 5.5                 100
         22.65565664                  23        0.3443433629                 5.5                 100
          26.8094114                  27        0.1905886037                 5.5                 100
         31.37633983                  31        0.3763398312                 5.5                 100
         2.875126626                   3        0.1248733745                 5.6                 100
         6.808194684                   7        0.1918053163                 5.6                 100
         10.75389844                  11        0.2461015588                 5.6                 100
         14.70443376                  15        0.2955662414                 5.6                 100
         18.65827079                  19        0.3417292103                 5.6                 100
         22.63116202                  23        0.3688379841                 5.6                 100
         26.71685044                  27        0.2831495601                 5.6                 100
         31.13600572                  31        0.1360057228                 5.6                 100
         2.872924724                   3        0.1270752762                 5.7                 100
         6.804731486                   7        0.1952685136                 5.7                 100
         10.74934186                  11        0.2506581403                 5.7                 100
         14.69877968                  15        0.3012203235                 5.7                 100
         18.65072981                  19         0.349270192                 5.7                 100
          22.6133822                  23         0.386617796                 5.7                 100
          26.6496136                  27        0.3503863982                 5.7                 100
         30.94375992                  31       0.05624007649                 5.7                 100
         2.870723825                   3        0.1292761746                 5.8                 100
         6.801267045                   7        0.1987329554                 5.8                 100
         10.74478017                  11        0.2552198262                 5.8                 100
         14.69313276                  15         0.306867244                 5.8                 100
         18.64358696                  19        0.3564130401                 5.8                 100
          22.5998374                  23        0.4001626003                 5.8                 100
         26.60171756                  27        0.3982824431                 5.8                 100
          30.7940295                  31        0.2059704998                 5.8                 100
         2.868523931                   3        0.1314760685                 5.9                 100
         6.797801361                   7        0.2021986393                 5.9                 100
         10.74021316                  11        0.2597868355                 5.9                 100
         14.68748272                  15        0.3125172811                 5.9                 100
         18.63663913                  19        0.3633608703                 5.9                 100
         22.58882782                  23        0.4111721765                 5.9                 100
         26.56784681                  27        0.4321531851                 5.9                 100
         30.68066513                  31        0.3193348709                 5.9                 100
         2.866325043                   3        0.1336749569                   6                 100
         6.794334438                   7        0.2056655616                   6                 100
         10.73564074                  11        0.2643592552                   6                 100
         14.68182478                  15        0.3181752218                   6                 100
         18.62977786                  19         0.370222143                   6                 100
         22.57925873                  23        0.4207412745                   6                 100
         26.54360779                  27        0.4563922073                   6                 100
         30.59716931                  31        0.4028306916                   6                 100
         2.864127161                   3        0.1358728387                 6.1                 100
         6.790866282                   7         0.209133718                 6.1                 100
         10.73106288                  11        0.2689371159                 6.1                 100
         14.67615678                  15        0.3238432218                 6.1                 100
         18.62294758                  19        0.3770524199                 6.1                 100
         22.57046491                  23        0.4295350866                 6.1                 100
         26.52562538                  27        0.4743746224                 6.1                 100
         30.53707174                  31        0.4629282644                 6.1                 100
         2.861930287                   3        0.1380697127                 6.2                 100
         6.787396896                   7        0.2126031042                 6.2                 100
         10.72647958                  11        0.2735204249                 6.2                 100
         14.67047778                  15        0.3295222185                 6.2                 100
         18.61612093                  19         0.383879072                 6.2                 100
         22.56206344                  23          0.43793656                 6.2                 100
         26.51148672                  27        0.4885132766                 6.2                 100
         30.49436337                  31         0.505636634                 6.2                 100
         2.859734422                   3         0.140265578                 6.3                 100
         6.783926284                   7        0.2160737159                 6.3                 100
         10.72189082                  11          0.27810918                 6.3                 100
          14.6647874                  15        0.3352126036                 6.3                 100
         18.60928491                  19        0.3907150909                 6.3                 100
         22.55384458                  23        0.4461554236                 6.3                 100
         26.49958155                  27        0.5004184542                 6.3                 100
         30.46387043                  31        0.5361295658                 6.3                 100
         2.857539567                   3        0.1424604334                 6.4                 100
         6.780454451                   7        0.2195455486                 6.4                 100
         10.71729662                  11        0.2827033754                 6.4                 100
         14.65908547                  15        0.3409145321                 6.4                 100
         18.60243357                  19         0.397566426                 6.4                 100
         22.54569865                  23        0.4543013489                 6.4                 100
         26.48890231                  27        0.5110976901                 6.4                 100
         30.44147245                  31        0.5585275532                 6.4                 100
         2.855345722                   3        0.1446542779                 6.5                 100
         6.776981402                   7         0.223018598                 6.5                 100
           10.712697                  11         0.287303004                 6.5                 100
         14.65337194                  15        0.3466280596                 6.5                 100
         18.59556429                  19         0.404435707                 6.5                 100
         22.53757073                  23        0.4624292657                 6.5                 100
         26.47885517                  27        0.5211448277                 6.5                 100
         30.42413177                  31        0.5758682297                 6.5                 100
          2.85315289                   3        0.1468471104                 6.6                 100
          6.77350714                   7        0.2264928596                 6.6                 100
         10.70809194                  11        0.2919080579                 6.6                 100
          14.6476468                  15        0.3523532011                 6.6                 100
         18.58867594                  19        0.4113240552                 6.6                 100
         22.52943441                  23        0.4705655941                 6.6                 100
         26.46910885                  27        0.5308911496                 6.6                 100
         30.40976947                  31        0.5902305305                 6.6                 100
          2.85096107                   3        0.1490389298                 6.7                 100
         6.770031671                   7        0.2299683291                 6.7                 100
         10.70348147                  11        0.2965185295                 6.7                 100
         14.64191004                  15        0.3580899553                 6.7                 100
         18.58176807                  19        0.4182319295                 6.7                 100
         22.52127744                  23        0.4787225625                 6.7                 100
         26.45948766                  27         0.540512343                 6.7                 100
         30.39705878                  31        0.6029412167                 6.7                 100
         2.848770265                   3        0.1512297351                 6.8                 100
         6.766554998                   7        0.2334450021                 6.8                 100
         10.69886559                  11        0.3011344108                 6.8                 100
         14.63616169                  15         0.363838315                 6.8                 100
         18.57484049                  19        0.4251595072                 6.8                 100
         22.51309438                  23         0.486905625                 6.8                 100
         26.44990268                  27        0.5500973185                 6.8                 100
         30.38520603                  31        0.6147939736                 6.8                 100
         2.846580475                   3        0.1534195252                 6.9                 100
         6.763077126                   7        0.2369228742                 6.9                 100
         10.69424431                  11        0.3057556938                 6.9                 100
         14.63040173                  15        0.3695982706                 6.9                 100
         18.56789315                  19        0.4321068504                 6.9                 100
         22.50488287                  23        0.4951171276                 6.9                 100
         26.44031085                  27        0.5596891526                 6.9                 100
         30.37376377                  31        0.6262362258                 6.9                 100
         2.844391701                   3        0.1556082991                   7                 100
         6.759598059                   7        0.2404019409                   7                 100
         10.68961763                  11        0.3103823707                   7                 100
         14.62463019                  15        0.3753698117                   7                 100
         18.56092602                  19        0.4390739751                   7                 100
         22.49664196                  23         0.503358042                   7                 100
