                   N               error          calculated               exact       comp time (s)
                   1            0.192766                   0            0.192766         0.000120466
                   2           0.0716947            0.121071            0.192766          3.5857e-05
                   3           0.0408078            0.151958            0.192766          4.4372e-05
                   4           0.0267452             0.16602            0.192766         0.000165757
                   5           0.0193161             0.17345            0.192766         0.000354026
                   6           0.0146432            0.178123            0.192766          0.00138929
                   7           0.0114714            0.181294            0.192766          0.00224916
                   8          0.00921959            0.183546            0.192766          0.00493389
                   9          0.00756321            0.185202            0.192766           0.0105246
                  10          0.00630837            0.186457            0.192766           0.0279897
                  11          0.00533407            0.187432            0.192766           0.0405224
                  12          0.00456188            0.188204            0.192766           0.0700729
                  13          0.00393913            0.188827            0.192766            0.115002
                  14          0.00342938            0.189336            0.192766            0.162464
                  15          0.00300673            0.189759            0.192766            0.217128
                  16          0.00265235            0.190113            0.192766              0.3205
                  17          0.00235226            0.190413            0.192766            0.455971
                  18          0.00209593             0.19067            0.192766            0.641996
                  19          0.00187525             0.19089            0.192766            0.882281
                  20          0.00168393            0.191082            0.192766             1.19072
                  21          0.00151702            0.191249            0.192766             1.61866
                  22          0.00137056            0.191395            0.192766             2.10408
                  23          0.00124138            0.191524            0.192766             2.73728
                  24          0.00112689            0.191639            0.192766             3.52072
                  25          0.00102497            0.191741            0.192766             4.48661
                  26         0.000933883            0.191832            0.192766             5.65835
                  27         0.000852167            0.191914            0.192766             7.10791
                  28         0.000778607            0.191987            0.192766             8.83227
                  29         0.000712174            0.192054            0.192766             10.8748
                  30         0.000651999            0.192114            0.192766              13.353
