                   N               error          calculated               exact       comp time (s)
                   1            0.192766                   0            0.192766          5.4304e-05
                   2            0.192737         2.91432e-05            0.192766          7.2242e-05
                   3           0.0714702            0.264236            0.192766          4.4906e-05
                   4            0.185292           0.0074738            0.192766          0.00014406
                   5            0.155857            0.348622            0.192766         0.000399962
                   6            0.151808           0.0409578            0.192766          0.00319272
                   7            0.130589            0.323355            0.192766          0.00206244
                   8            0.111302           0.0814638            0.192766          0.00548424
                   9           0.0853564            0.278122            0.192766          0.00871048
                  10            0.079522            0.113244            0.192766           0.0217469
                  11             0.05084            0.243606            0.192766           0.0272076
                  12           0.0575322            0.135234            0.192766           0.0580979
                  13           0.0287914            0.221557            0.192766           0.0817431
                  14           0.0426784            0.150087            0.192766            0.118744
                  15           0.0154506            0.208216            0.192766            0.165989
                  16           0.0325361             0.16023            0.192766             0.22722
                  17          0.00750272            0.200268            0.192766            0.328506
                  18           0.0254533            0.167312            0.192766            0.453824
                  19           0.0027852            0.195551            0.192766            0.631418
                  20            0.020379            0.172387            0.192766            0.860749
                  21         5.22022e-06             0.19276            0.192766             1.15868
                  22           0.0166511            0.176115            0.192766              1.5387
                  23          0.00163855            0.191127            0.192766             1.99596
                  24           0.0138476            0.178918            0.192766             2.53546
                  25          0.00257063            0.190195            0.192766             3.30775
                  26           0.0116941            0.181072            0.192766             4.21363
                  27          0.00307418            0.189692            0.192766             5.29946
                  28           0.0100081            0.182758            0.192766             6.45712
                  29          0.00331452            0.189451            0.192766             7.96526
                  30          0.00866557              0.1841            0.192766             9.73822
