                   N               error          calculated               exact       comp time (s)            variance
              500000           0.0102743             0.20304            0.192766           0.0961206           0.0236112
             1000000           0.0314271            0.161339            0.192766            0.177489           0.0354492
             1500000           0.0156061             0.17716            0.192766            0.248435            0.012548
             2000000          0.00586085            0.186905            0.192766             0.33378           0.0147772
             2500000          0.00556818            0.198334            0.192766            0.412529           0.0171197
             3000000          0.00277932            0.189986            0.192766            0.501401           0.0126334
             3500000          0.00316722            0.195933            0.192766            0.599243           0.0142059
             4000000          0.00258107            0.190185            0.192766            0.673973           0.0169115
             4500000          0.00013992            0.192906            0.192766            0.768825           0.0194309
             5000000          0.00259994            0.190166            0.192766            0.854174           0.0208582
             5500000         0.000570664            0.192195            0.192766            0.909261           0.0195865
             6000000          0.00171131            0.194477            0.192766            0.999855           0.0496111
             6500000          0.00720028            0.185565            0.192766             1.12392            0.019098
             7000000           0.0022308            0.194997            0.192766             1.16499           0.0228342
             7500000           0.0014702            0.191296            0.192766             1.28952           0.0295787
             8000000          0.00276557                0.19            0.192766             1.40418           0.0168753
             8500000          0.00502505            0.197791            0.192766             1.41674           0.0188883
             9000000          0.00678547            0.199551            0.192766             1.55521           0.0980423
             9500000          0.00292186            0.189844            0.192766             1.56996           0.0219801
            10000000          0.00331209            0.189454            0.192766             1.66536           0.0311669
            10500000          0.00265527            0.195421            0.192766             1.76202           0.0245325
            11000000          0.00496101            0.187805            0.192766             1.83767           0.0182778
            11500000          0.00309997            0.189666            0.192766             1.92315           0.0657939
            12000000          0.00276911            0.195535            0.192766             2.01783           0.0210252
            12500000          0.00124279            0.194009            0.192766             2.07685           0.0804676
            13000000          0.00059598            0.193362            0.192766             2.16712            0.045941
            13500000          0.00434481            0.197111            0.192766              2.2313           0.0720974
            14000000          0.00193859            0.194704            0.192766             2.31624           0.0212265
            14500000         0.000626933            0.193393            0.192766             2.39593           0.0175318
            15000000          0.00232329            0.190442            0.192766             2.49473           0.0154069
            15500000         5.87806e-05            0.192707            0.192766             2.57378           0.0212135
            16000000          0.00126172            0.194027            0.192766              2.6337           0.0216397
            16500000         4.32749e-05            0.192809            0.192766             2.72147           0.0159198
            17000000         0.000879054            0.191887            0.192766             2.79459           0.0230934
            17500000         0.000652639            0.192113            0.192766              2.8771           0.0185572
            18000000          0.00173292            0.194499            0.192766             2.96053           0.0178432
            18500000          0.00114584            0.193912            0.192766             3.11338           0.0151573
            19000000          0.00159206            0.191174            0.192766             3.13211            0.021919
            19500000         0.000694461             0.19346            0.192766             3.20856           0.0222276
            20000000         0.000359502            0.192406            0.192766             3.28894            0.031735
            20500000          0.00301111            0.189755            0.192766             3.37558           0.0153551
            21000000         0.000925862            0.193692            0.192766             3.45125           0.0173975
            21500000          0.00344255            0.196208            0.192766             3.56412            0.027664
            22000000          0.00124687            0.191519            0.192766             3.64376           0.0212893
            22500000         0.000884434            0.191881            0.192766             3.71431           0.0206877
            23000000          0.00124458             0.19401            0.192766             3.79745           0.0177928
            23500000          0.00270289            0.190063            0.192766             3.87913           0.0208424
            24000000          0.00106017            0.193826            0.192766             3.95921           0.0146209
            24500000          0.00432934            0.188436            0.192766             4.10588           0.0323511
            25000000         0.000220286            0.192986            0.192766             4.23247            0.021855
            25500000          0.00065543             0.19211            0.192766             4.26795           0.0180398
            26000000         0.000268056            0.193034            0.192766             4.32177           0.0232514
            26500000         0.000903846            0.191862            0.192766             4.47497           0.0168226
            27000000          0.00122402             0.19399            0.192766             4.55085           0.0241699
            27500000          0.00107099            0.193837            0.192766             4.59789           0.0162735
            28000000          0.00172892            0.194495            0.192766             4.73577           0.0230737
            28500000         0.000884334             0.19365            0.192766             4.81305           0.0206001
            29000000         0.000357538            0.193123            0.192766             4.91292            0.118293
            29500000         9.38975e-05            0.192672            0.192766             4.93855           0.0183822
            30000000          0.00123205            0.191534            0.192766             5.05151           0.0210047
            31000000         0.000296795            0.192469            0.192766             5.10699           0.0199979
            32000000          0.00048601             0.19228            0.192766             5.27206           0.0172592
            33000000         0.000336324            0.192429            0.192766             5.42832           0.0228762
            34000000         0.000416843            0.192349            0.192766             5.56405           0.0167018
            35000000         0.000466852            0.192299            0.192766             5.76853           0.0203149
            36000000         0.000612165            0.192154            0.192766             5.94234           0.0235965
            37000000          0.00271848            0.190047            0.192766             6.37893           0.0296468
            38000000         4.82592e-05            0.192717            0.192766             6.52366           0.0255905
            39000000          0.00056003            0.192206            0.192766             6.44148           0.0257764
            40000000          0.00320588            0.195972            0.192766              7.0746           0.0260425
