                   N               error          calculated               exact       comp time (s)            variance
              500000         0.000128654            0.192637            0.192766            0.221953         2.15033e-06
             1000000           3.533e-05             0.19273            0.192766            0.442608         0.000156264
             1500000         0.000170668            0.192595            0.192766            0.663325          2.6788e-06
             2000000         0.000157586            0.192608            0.192766            0.884984          4.6241e-06
             2500000         9.08787e-06            0.192775            0.192766              1.1066         3.18032e-06
             3000000         6.60778e-05            0.192832            0.192766             1.33177         4.49493e-06
             3500000         0.000135563             0.19263            0.192766             1.54858         3.20942e-06
             4000000         2.19038e-05            0.192744            0.192766             1.77211         6.43004e-06
             4500000         1.82828e-05            0.192747            0.192766             2.07571         3.84566e-06
             5000000         2.45604e-06            0.192768            0.192766             2.33337         4.11044e-06
             5500000         4.88553e-05            0.192815            0.192766             2.44459         3.75364e-06
             6000000         6.11818e-05            0.192827            0.192766             2.66267          1.2096e-05
             6500000         0.000140633            0.192906            0.192766             2.88471         5.14192e-06
             7000000         8.92113e-05            0.192676            0.192766             3.10575         5.30723e-06
             7500000         7.34287e-06            0.192758            0.192766             3.32424         3.85241e-06
             8000000         1.44457e-05            0.192751            0.192766             3.54797         3.88203e-06
             8500000         0.000172792            0.192939            0.192766             3.78107         4.19819e-06
             9000000         3.43845e-05              0.1928            0.192766             3.99907         6.22761e-06
             9500000         0.000259269            0.192506            0.192766             4.22714         4.77101e-06
            10000000         7.17589e-05            0.192694            0.192766             4.44209          7.7228e-06
            10500000         0.000114259            0.192651            0.192766             4.66366          8.6777e-06
            11000000            0.000184            0.192582            0.192766             4.88524         5.51383e-06
            11500000         3.96028e-06             0.19277            0.192766              5.1106          3.8212e-06
            12000000         2.34279e-05            0.192742            0.192766             5.32255         3.94079e-06
            12500000         4.14652e-05            0.192807            0.192766             5.54227         2.91792e-06
            13000000         2.56394e-05             0.19274            0.192766             5.77086         5.97646e-06
            13500000         0.000152111            0.192614            0.192766             5.98929         4.25768e-06
            14000000         0.000220903            0.192987            0.192766             6.20857         4.10928e-06
            14500000         0.000112894            0.192879            0.192766             6.53875         5.59514e-06
            15000000         7.53479e-05            0.192841            0.192766              6.7492         4.73911e-06
            15500000         9.11973e-05            0.192675            0.192766             6.99953         1.16441e-05
            16000000         0.000192449            0.192958            0.192766             7.19608         4.14787e-06
            16500000         2.19928e-05            0.192788            0.192766             7.45848         4.60144e-06
            17000000         7.31728e-05            0.192693            0.192766             7.74992         4.34049e-06
            17500000         8.10223e-05            0.192847            0.192766             7.97329         3.89535e-06
            18000000          5.5116e-05            0.192821            0.192766             8.00911         4.07936e-06
            18500000         6.53851e-05              0.1927            0.192766              8.1875         4.27727e-06
            19000000         7.07033e-05            0.192836            0.192766              8.4162         4.09841e-06
            19500000         6.67777e-05            0.192832            0.192766             8.63451           4.025e-06
            20000000         3.33968e-05            0.192799            0.192766             8.85708         4.65962e-06
            20500000         2.61016e-05             0.19274            0.192766             9.07775         4.39937e-06
            21000000         9.28416e-05            0.192859            0.192766             9.29656         5.94847e-06
            21500000         1.15795e-05            0.192754            0.192766             9.52353         3.25326e-06
            22000000           5.787e-06            0.192771            0.192766             9.74807         4.79453e-06
            22500000          3.1754e-05            0.192734            0.192766              9.9616         5.22956e-06
            23000000         1.57723e-05             0.19275            0.192766             10.2111         4.88468e-06
            23500000         1.63722e-05            0.192782            0.192766             10.4112         5.78051e-06
            24000000         4.95039e-05            0.192815            0.192766             10.6338         4.29611e-06
            24500000         6.72173e-05            0.192698            0.192766             10.8506         5.57217e-06
            25000000         1.73643e-05            0.192783            0.192766             11.0764         4.04013e-06
            25500000         9.23067e-06            0.192775            0.192766             11.2885         4.72962e-06
            26000000         3.28773e-05            0.192799            0.192766             11.5092         9.67225e-06
            26500000         1.08214e-05            0.192755            0.192766             11.7319         6.25222e-06
            27000000         1.25273e-06            0.192767            0.192766             11.9601          3.8785e-06
            27500000         0.000105764             0.19266            0.192766             12.1786         4.74436e-06
            28000000         1.37129e-05            0.192779            0.192766             12.4039         3.91039e-06
            28500000         4.42863e-05            0.192721            0.192766              12.626         5.52201e-06
            29000000         8.55609e-05            0.192851            0.192766             12.8415         3.60487e-06
            29500000         5.18606e-05            0.192818            0.192766              13.067         3.33066e-06
            30000000         0.000128992            0.192637            0.192766             9.20219         4.34782e-06
            40000000         4.71181e-05            0.192719            0.192766             12.4798         4.83571e-06
            50000000         9.38822e-05            0.192672            0.192766             14.9481         4.73194e-06
            60000000         0.000178861            0.192945            0.192766             17.8858          4.3959e-06
            70000000         7.13087e-05            0.192837            0.192766             21.0041         4.36846e-06
            80000000          2.9457e-05            0.192736            0.192766             23.8773         4.87701e-06
            90000000         6.42918e-05            0.192701            0.192766             26.8171         5.02742e-06
           100000000          0.00010194            0.192664            0.192766             31.0629         4.44435e-06
           110000000         9.48415e-05            0.192861            0.192766             33.6389         5.31516e-06
           120000000         3.97496e-05            0.192805            0.192766             36.1896         4.85969e-06
           130000000         1.65392e-05            0.192782            0.192766             40.2487         9.04283e-06
           140000000         8.30435e-06            0.192774            0.192766              43.398           4.791e-06
           150000000         3.30228e-06            0.192769            0.192766             46.4552         4.45156e-06
           160000000         9.51573e-06            0.192756            0.192766             49.8336         4.59156e-06
           170000000         2.85542e-05            0.192794            0.192766              51.612         4.64961e-06
           180000000         2.47178e-05            0.192741            0.192766             53.8453         5.07821e-06
           190000000         3.18736e-05            0.192798            0.192766             56.8956          4.8713e-06
           200000000          6.6096e-06            0.192759            0.192766             59.8108         4.76985e-06
           210000000         5.22281e-05            0.192713            0.192766              62.484         5.09576e-06
           220000000         6.25468e-05            0.192703            0.192766              65.442         5.17504e-06
           230000000         1.82262e-05            0.192784            0.192766             68.2434         5.05058e-06
           240000000         4.52229e-06             0.19277            0.192766             74.1262         4.35594e-06
           250000000         2.81309e-05            0.192738            0.192766             79.3782         5.10085e-06
           260000000         4.57605e-05             0.19272            0.192766             80.8776         5.66405e-06
           270000000         2.37051e-05            0.192742            0.192766             80.8572         5.06445e-06
           280000000         1.94463e-05            0.192785            0.192766             83.4253         4.98949e-06
           290000000         7.67955e-06            0.192773            0.192766             86.9841         5.29937e-06
           300000000         2.97132e-05            0.192795            0.192766             92.1763         4.98316e-06
           310000000         7.27921e-05            0.192839            0.192766             96.0999         5.07741e-06
           320000000         1.77921e-05            0.192748            0.192766             99.6382         5.28133e-06
           330000000         2.35173e-05            0.192789            0.192766             102.919          4.9331e-06
           340000000         4.36784e-06             0.19277            0.192766             104.955         4.81291e-06
           350000000         3.87346e-05            0.192804            0.192766             108.674         4.75473e-06
           360000000         3.18222e-05            0.192798            0.192766             111.053         4.97236e-06
           370000000         4.23114e-05            0.192808            0.192766             112.814         5.07646e-06
           380000000         1.16472e-05            0.192777            0.192766             116.071          4.9027e-06
           390000000         1.11026e-05            0.192755            0.192766             119.475         5.26205e-06
           400000000         1.45979e-06            0.192767            0.192766             120.935         4.82086e-06
           410000000         1.70276e-05            0.192749            0.192766             126.479         5.88821e-06
           420000000         2.13276e-05            0.192744            0.192766             129.863         4.85133e-06
           430000000         2.61983e-05            0.192792            0.192766             133.237         5.61851e-06
           440000000          5.1896e-07            0.192766            0.192766             137.594         4.67717e-06
           450000000         1.36231e-05            0.192779            0.192766             137.797         4.83993e-06
           460000000         1.48015e-05            0.192781            0.192766              140.86          4.9018e-06
           470000000         4.70697e-06             0.19277            0.192766             144.459         7.24036e-06
           480000000         9.23075e-06            0.192756            0.192766             148.407          4.9484e-06
           490000000         1.40355e-05            0.192752            0.192766             152.393         4.96278e-06
           500000000         1.92696e-05            0.192746            0.192766             156.717         4.87062e-06
           510000000         1.63541e-05            0.192782            0.192766             156.783         4.97091e-06
           520000000          2.6931e-06            0.192763            0.192766             162.016         4.71424e-06
           530000000         2.20662e-05            0.192788            0.192766             161.923         4.80313e-06
           540000000         5.74681e-06            0.192771            0.192766             166.088          5.0115e-06
           550000000         5.70678e-05            0.192709            0.192766             170.346         5.46703e-06
           560000000         3.00666e-05            0.192796            0.192766             171.985         5.05782e-06
