                   N               error          calculated               exact       comp time (s)            variance
              500000         2.39391e-05            0.192742            0.192766            0.601285         6.33349e-06
             1000000         0.000564955            0.192201            0.192766             1.19696         3.25359e-06
             1500000         0.000387141            0.193153            0.192766             1.78201         5.49746e-06
             2000000         0.000415158            0.192351            0.192766             2.37597         1.90465e-05
             2500000         0.000432265            0.192333            0.192766             2.98574         4.55591e-06
             3000000         6.04377e-05            0.192826            0.192766             3.60131         3.08996e-06
             3500000         5.32935e-05            0.192712            0.192766             4.21101         2.88426e-06
             4000000         2.76935e-05            0.192738            0.192766             4.89021         4.62612e-06
             4500000           0.0001578            0.192608            0.192766             5.38262         3.90857e-06
             5000000         7.62885e-05            0.192689            0.192766             5.95472         3.71791e-06
             5500000         1.03141e-05            0.192776            0.192766             6.55006         2.16771e-06
             6000000         3.92264e-05            0.192726            0.192766             7.18328         3.61489e-06
             6500000         1.54176e-05            0.192781            0.192766              7.6472         5.96068e-06
             7000000         0.000270556            0.192495            0.192766             8.28135         5.76676e-06
             7500000         0.000164093            0.192602            0.192766             8.81993          3.8363e-06
             8000000         4.04096e-05            0.192806            0.192766             9.47219         3.58399e-06
             8500000         5.53424e-05             0.19271            0.192766             10.1042          4.4155e-06
             9000000         3.52601e-05             0.19273            0.192766             10.8956         3.49392e-06
             9500000         0.000223524            0.192989            0.192766             11.4769         4.23688e-06
            10000000         3.52971e-05            0.192801            0.192766             12.0518         2.82927e-06
            10500000         6.39846e-05            0.192702            0.192766             12.6052          1.9984e-05
            11000000         3.75422e-05            0.192728            0.192766             13.5411         5.36529e-06
            11500000         1.63303e-05            0.192749            0.192766             14.4223         3.76847e-06
            12000000         0.000187366            0.192953            0.192766             14.4068         3.60594e-06
            12500000         3.29211e-05            0.192799            0.192766             15.0218         7.33094e-06
            13000000         8.84107e-06            0.192757            0.192766             16.0148         4.89694e-06
            13500000         7.92361e-05            0.192686            0.192766             16.0908         6.85171e-06
            14000000         4.84651e-05            0.192814            0.192766               16.92         4.04372e-06
            14500000         7.17162e-05            0.192694            0.192766             17.5792         3.98432e-06
            15000000         3.75134e-05            0.192803            0.192766             18.1832         6.25069e-06
            15500000         3.30833e-05            0.192733            0.192766              18.705         4.90559e-06
            16000000           8.692e-05            0.192853            0.192766             19.0404         4.83512e-06
            16500000         2.47015e-05            0.192741            0.192766             19.3166          4.3775e-06
            17000000         7.14096e-05            0.192694            0.192766             19.4335         4.10789e-06
            17500000         4.25538e-05            0.192808            0.192766             20.0058         6.90416e-06
            18000000         2.13931e-05            0.192744            0.192766             20.4621         4.53764e-06
            18500000         5.61297e-05            0.192822            0.192766             21.0613         4.97748e-06
            19000000         5.46658e-05             0.19282            0.192766             21.6727         5.36431e-06
            19500000         1.80105e-05            0.192784            0.192766             22.2286         4.52958e-06
            20000000         0.000177978            0.192588            0.192766             22.8008         5.17139e-06
            20500000         6.86153e-05            0.192834            0.192766             23.3406         4.56152e-06
            21000000         9.12683e-05            0.192857            0.192766             23.9147           4.664e-06
            21500000         4.81688e-05            0.192814            0.192766             24.4685         1.10425e-05
            22000000          1.3776e-05            0.192779            0.192766             25.3152         4.06134e-06
            22500000         8.00943e-05            0.192846            0.192766              26.637         5.73127e-06
            23000000         0.000163296            0.192602            0.192766             27.2587         4.82686e-06
            23500000         0.000117672            0.192883            0.192766             27.5458         4.76902e-06
            24000000          4.5559e-05            0.192811            0.192766             27.5485         3.41679e-06
            24500000         2.17148e-05            0.192744            0.192766             27.9896         4.33537e-06
            25000000          5.0095e-05            0.192716            0.192766             28.5462         4.26889e-06
            25500000         4.89906e-06            0.192761            0.192766             29.0674         5.48533e-06
            26000000          1.4076e-05            0.192752            0.192766             29.6504         5.20898e-06
            26500000         7.97857e-05            0.192845            0.192766             30.2674         4.22274e-06
            27000000         7.33732e-05            0.192839            0.192766             31.3158         6.05741e-06
            27500000         2.62502e-06            0.192763            0.192766             32.7368         4.24631e-06
            28000000         8.39731e-05             0.19285            0.192766             33.3932         4.62601e-06
            28500000         0.000106329            0.192659            0.192766             32.2769         5.34205e-06
            29000000          6.5563e-05            0.192831            0.192766             32.8945         5.28278e-06
            29500000         8.46325e-05            0.192681            0.192766             33.5416         3.54166e-06
            30000000         4.61949e-06            0.192761            0.192766             34.2308         4.45444e-06
