                   N               error          calculated               exact       comp time (s)            variance
              100000         0.000775515             0.19199            0.192766           0.0309989         9.26308e-06
              200000         0.000520457            0.192245            0.192766           0.0643545         6.72308e-06
              300000         0.000698502            0.192067            0.192766           0.0935066         8.09079e-06
              400000          0.00114156            0.191624            0.192766            0.124851         7.41695e-06
              500000         0.000686459            0.192079            0.192766            0.164242         6.77972e-06
              600000         0.000606157             0.19216            0.192766            0.210931         5.09377e-06
              700000         0.000599218            0.192166            0.192766            0.233932         4.75078e-06
              800000         0.000769547            0.191996            0.192766            0.253548         4.32018e-06
              900000         0.000978691            0.191787            0.192766            0.277992         3.30464e-06
             1000000         0.000746338            0.192019            0.192766            0.306646         3.49444e-06
             1100000         0.000929124            0.191837            0.192766            0.350661         3.89521e-06
             1200000          0.00024032            0.192525            0.192766            0.406703         4.82068e-06
             1300000         0.000312167            0.192454            0.192766             0.45537         4.84095e-06
             1400000          6.7894e-05            0.192834            0.192766            0.469479         4.44731e-06
             1500000         2.13274e-05            0.192744            0.192766            0.475529         4.57448e-06
             1600000         6.17488e-05            0.192704            0.192766            0.525121         4.45014e-06
             1700000         0.000643955            0.192122            0.192766            0.538064         5.20435e-06
             1800000         0.000288638            0.192477            0.192766            0.574462          5.1616e-06
             1900000         0.000189806            0.192576            0.192766            0.601461         5.44704e-06
             2000000          0.00030299            0.192463            0.192766            0.627991         5.01401e-06
             2100000         0.000309782            0.192456            0.192766            0.668289         5.08847e-06
             2200000         0.000333958            0.192432            0.192766            0.711752         5.32326e-06
             2300000         5.72128e-05            0.192708            0.192766            0.738077         4.83529e-06
             2400000         4.80214e-05            0.192718            0.192766            0.763536         4.92286e-06
             2500000         0.000293201            0.193059            0.192766            0.793697         4.48842e-06
             2600000         0.000217401            0.192983            0.192766            0.831458         3.62565e-06
             2700000         9.25589e-05            0.192858            0.192766            0.846244         4.98859e-06
             2800000         0.000574425             0.19334            0.192766             0.88422         4.81664e-06
             2900000         0.000525882            0.193292            0.192766             1.01377         4.80702e-06
             3000000         0.000164449            0.192601            0.192766              1.0065          6.0132e-06
             3100000         0.000354991            0.192411            0.192766             1.07754         5.87687e-06
             3200000         0.000212028            0.192978            0.192766             1.17543          4.4124e-06
             3300000         0.000531966            0.192234            0.192766             1.22778         4.23078e-06
             3400000         0.000553054            0.192213            0.192766             1.20575         4.25716e-06
             3500000         0.000145238             0.19262            0.192766             1.22422         5.24088e-06
             3600000         0.000580123            0.192186            0.192766             1.20298         5.40021e-06
             3700000         0.000512658            0.192253            0.192766             1.22964          5.1648e-06
             3800000         0.000189792            0.192576            0.192766             1.24384         4.01476e-06
             3900000          0.00011007            0.192656            0.192766             1.25865         4.26511e-06
             4000000         0.000237679            0.193003            0.192766             1.25082         3.88167e-06
             4100000         0.000521768            0.193287            0.192766             1.29773         3.38621e-06
             4200000         2.30168e-05            0.192743            0.192766             1.45852         5.05392e-06
             4300000          0.00045405             0.19322            0.192766             1.34718         7.00744e-06
             4400000         0.000278786            0.192487            0.192766             1.42839         5.80973e-06
             4500000         0.000235654             0.19253            0.192766             1.40979         5.13394e-06
             4600000         0.000427976            0.193194            0.192766             1.42266         4.62541e-06
             4700000         0.000313018            0.193079            0.192766             1.49908         3.72646e-06
             4800000         6.45936e-05             0.19283            0.192766             1.49661         3.69242e-06
             4900000         6.66076e-05            0.192832            0.192766             1.53102         4.37011e-06
             5000000         0.000242032            0.193008            0.192766             1.57749         3.82644e-06
