                   N               error          calculated               exact       comp time (s)            variance
              500000          0.00047733            0.192288            0.192766           0.0253447         5.21761e-06
             1000000         0.000774031             0.19354            0.192766           0.0551682         1.45613e-05
             1500000          0.00162013            0.194386            0.192766            0.087951         1.05612e-05
             2000000          0.00141308            0.194179            0.192766            0.119399         8.93178e-06
             2500000          0.00116309            0.193929            0.192766            0.141225         8.06711e-06
             3000000         0.000911554            0.193677            0.192766            0.181835         7.30148e-06
             3500000         0.000704871            0.193471            0.192766            0.203253          7.0433e-06
             4000000          0.00035842            0.193124            0.192766            0.256938         7.02905e-06
             4500000         0.000335198            0.193101            0.192766            0.285122         6.46954e-06
             5000000         0.000178927            0.192945            0.192766            0.315548         7.48282e-06
             5500000         0.000293588            0.193059            0.192766            0.353933         7.71738e-06
             6000000         0.000143349            0.192909            0.192766            0.381509         7.31613e-06
             6500000         7.15371e-05            0.192837            0.192766            0.398446         5.89721e-06
             7000000         0.000180499            0.192946            0.192766            0.400677         5.65149e-06
             7500000         0.000162009            0.192928            0.192766            0.451047         6.17317e-06
             8000000          8.6146e-06            0.192757            0.192766            0.488144         6.12149e-06
             8500000         4.58739e-05            0.192812            0.192766            0.556727         5.64818e-06
             9000000         5.79476e-05            0.192708            0.192766            0.563808         5.66754e-06
             9500000         0.000151983            0.192918            0.192766            0.594225         5.46427e-06
            10000000         0.000225239            0.192991            0.192766            0.640774         5.13114e-06
            10500000         0.000298077            0.193064            0.192766            0.624736         4.42746e-06
            11000000         0.000125199            0.192891            0.192766            0.716091         5.30926e-06
            11500000         1.47212e-05            0.192751            0.192766            0.780481         5.67402e-06
            12000000         1.28581e-05            0.192779            0.192766            0.811459         5.60647e-06
            12500000         9.99096e-05            0.192866            0.192766            0.847176         4.80804e-06
            13000000         0.000145299            0.192911            0.192766            0.890557         4.75013e-06
            13500000         8.90997e-05            0.192855            0.192766            0.916913         4.60479e-06
            14000000         0.000126477            0.192892            0.192766            0.918743         4.42898e-06
            14500000         2.66039e-05            0.192739            0.192766             0.96874         4.55389e-06
            15000000         0.000106384            0.192872            0.192766             1.01908         4.30468e-06
            15500000         0.000158897            0.192925            0.192766             1.07939         4.00305e-06
            16000000          0.00019222            0.192958            0.192766             1.09429         3.58015e-06
            16500000         0.000339117            0.193105            0.192766             1.12291         3.25753e-06
            17000000         0.000336212            0.193102            0.192766             1.13088         3.69688e-06
            17500000         0.000255793            0.193022            0.192766             1.16761         4.04211e-06
            18000000         7.99571e-05            0.192846            0.192766             1.20422          4.6715e-06
            18500000         0.000121378            0.192887            0.192766              1.2686         4.49315e-06
            19000000         0.000110663            0.192876            0.192766             1.58035         4.49289e-06
            19500000         0.000107925            0.192874            0.192766             2.03649         4.46961e-06
            20000000         0.000118027            0.192884            0.192766             1.55455         4.67846e-06
            20500000         0.000163749            0.192929            0.192766             1.62877         4.90754e-06
            21000000         0.000553635            0.193319            0.192766             1.66481         7.72574e-06
            21500000         0.000535052            0.193301            0.192766             1.56253         7.35013e-06
            22000000         0.000560478            0.193326            0.192766             1.64697         7.19474e-06
            22500000         0.000515363            0.193281            0.192766             1.70692         7.34487e-06
            23000000         0.000289353            0.193055            0.192766             1.70623         7.53281e-06
            23500000         0.000130563            0.192896            0.192766             1.62849         7.46716e-06
            24000000         6.55797e-05              0.1927            0.192766             1.71447         4.43291e-06
            24500000         0.000220017            0.192546            0.192766             1.82431         5.66661e-06
            25000000         0.000320728            0.192445            0.192766             1.75752         6.63291e-06
            25500000         0.000296362            0.192469            0.192766             1.74939         6.17681e-06
            26000000         0.000214999            0.192551            0.192766             1.80037         6.96357e-06
            26500000         0.000198416            0.192567            0.192766             1.91148         6.67322e-06
            27000000          9.9631e-05            0.192666            0.192766             2.22994          5.5249e-06
            27500000         0.000126743            0.192639            0.192766             1.99319         5.54719e-06
            28000000         0.000203568            0.192562            0.192766             1.95986         5.26744e-06
            28500000          0.00024632            0.192519            0.192766             1.99086         4.84752e-06
            29000000         0.000269077            0.192497            0.192766             2.19177         4.49945e-06
            29500000         0.000123988            0.192642            0.192766             2.18091         4.74097e-06
            30000000         5.21278e-05            0.192714            0.192766             2.18091         4.82003e-06
