                   N               error          calculated               exact       comp time (s)            variance
              500000          0.00191164            0.194677            0.192766            0.156052           0.0009469
             1000000         0.000717135            0.193483            0.192766            0.299845          0.00156108
             1500000         0.000196495            0.192962            0.192766            0.447596          0.00194569
             2000000         7.99736e-05            0.192846            0.192766            0.604368         0.000680744
             2500000         0.000439258            0.193205            0.192766            0.777851          0.00093899
             3000000         5.91323e-05            0.192707            0.192766            0.934279          0.00160177
             3500000          0.00014535             0.19262            0.192766              1.2395          0.00423426
             4000000         0.000218035            0.192984            0.192766              1.2664          0.00193084
             4500000         2.69321e-05            0.192739            0.192766             1.79725          0.00289841
             5000000         0.000286103            0.193052            0.192766             1.81579         0.000976097
             5500000         0.000325628             0.19244            0.192766             2.23649          0.00175736
             6000000         0.000305686             0.19246            0.192766             2.09164          0.00165706
             6500000         0.000131686            0.192897            0.192766             2.06994          0.00168631
             7000000         0.000112956            0.192879            0.192766             2.05998          0.00207652
             7500000         0.000118086            0.192648            0.192766             2.23147          0.00191671
             8000000         0.000226227            0.192539            0.192766             2.38351          0.00217853
             8500000         0.000428953            0.192337            0.192766             2.63124          0.00129582
             9000000         0.000216518            0.192549            0.192766             2.65022          0.00198194
             9500000         7.42314e-05            0.192691            0.192766             2.82264          0.00251753
            10000000         0.000156924            0.192609            0.192766             3.00198          0.00138992
