                   N               error          calculated               exact       comp time (s)            variance
              500000           0.0113034            0.204069            0.192766           0.0877567             221.783
             1000000            0.011012            0.203778            0.192766             0.16242             264.613
             1500000          0.00987801            0.182888            0.192766            0.247395             183.274
             2000000          0.00673993            0.199506            0.192766             0.32257             477.178
             2500000          0.00600928            0.198775            0.192766            0.401138             178.093
             3000000          0.00174558             0.19102            0.192766            0.500613             256.081
             3500000          0.00329875            0.196064            0.192766            0.606796             161.344
             4000000         0.000953452            0.191812            0.192766            0.663603             223.161
             4500000          0.00358504            0.189181            0.192766            0.747184               149.1
             5000000         0.000894993            0.191871            0.192766            0.813431             207.287
             5500000          0.00632652            0.186439            0.192766             0.89691             129.688
             6000000          0.00182466             0.19459            0.192766            0.961561             223.905
             6500000          0.00759931            0.200365            0.192766              1.0549             191.893
             7000000          0.00149297            0.194259            0.192766             1.14625             138.958
             7500000          0.00270722            0.190058            0.192766             1.22288             166.297
             8000000           0.0010261             0.19174            0.192766             1.28592             182.228
             8500000          0.00143901            0.191327            0.192766             1.52753             280.163
             9000000          0.00396123            0.196727            0.192766             1.49737             180.331
             9500000          0.00529848            0.187467            0.192766             1.57674             543.026
            10000000          0.00203143            0.190734            0.192766             1.77466               181.5
