mc_iterations: 100000 spin_matrix_dim: 100
                   T                 <E>              <E**2>                 <M>              <M**2>               <|M|>
                   1   -19464.3032842105    378859556.373389    1300.06507368421    3557879.22227368    1549.19277894737
    1.04166666666667   -19930.1526736842    397226058.664758    9793.77814736842    96612378.4033684    9793.77814736842
    1.08333333333333   -19946.4115368421      397859780.1664    9986.22258947368    99724672.4891368    9986.22258947368
               1.125   -19928.3322526316    397139028.743916    9981.48816842105    99630148.4548211    9981.48816842105
    1.16666666666667   -19652.6527157895    386301444.005726    7629.50964210526    65094761.1432421    7629.50964210526
    1.20833333333333   -19880.4018105263    395231392.160842    9968.77250526316    99376499.8943158    9968.77250526316
                1.25   -19848.6744421053    393971156.986611    9960.24536842105    99206583.8131789    9960.24536842105
    1.29166666666667   -19810.6980631579    392465389.208758    9949.92490526316    99001131.5974316    9949.92490526316
    1.33333333333333   -19182.5283368421    367971822.082695   -2346.61966315789    10549165.6485053    2951.67351578947
               1.375   -19663.5711578947    386686216.363284   -9509.31151578947    92244846.7651789    9509.31151578947
    1.41666666666667   -19656.4612210526    386379476.266442   -9906.96214736842       98148153.6064    9906.96214736842
    1.45833333333333   -19588.2282105263    383702357.904842   -9887.42149473684     97761426.361221    9887.42149473684
                 1.5   -19108.3658105263    365222551.956547    3550.67854736842    38440928.9273684    4715.16006315789
    1.54166666666667   -19423.6650526316    377283992.490274            9839.084    96808073.3482105            9839.084
    1.58333333333333   -19325.4293052632    373478420.419705    9809.38642105263    96224686.3741053    9809.38642105263
               1.625   -19214.7179789474    369212800.552084    9775.19284210526    95555184.4312421    9775.19284210526
    1.66666666666667   -19090.3606736842    364450651.731537   -9735.90334736842    94788802.5753684    9735.90334736842
    1.70833333333333   -18952.6540631579    359213268.035705   -9691.12570526316    93919151.0815579    9691.12570526316
                1.75   -18799.5704421053    353435594.317811   -9640.00791578947       92931278.0176    9640.00791578947
    1.79166666666667   -18629.7344421053    347080684.292884   -9581.49642105263    91807010.7213474    9581.49642105263
    1.83333333333333   -18439.8608421053    340044617.626442   -9513.33463157895    90506041.2850947    9513.33463157895
               1.875   -18231.0833263158    332391126.829305   -9435.71421052632    89035929.3797474    9435.71421052632
    1.91666666666667          -17999.084    323988211.390147   -9345.01907368421    87333481.1278316    9345.01907368421
    1.95833333333333   -17741.1870315789    314774593.083284   -9238.21755789474    85350353.3137684    9238.21755789474
                   2   -17367.5701052632    301716597.622905    8270.38237894737    73920444.3322526    8278.85235789474
    2.04166666666667   -17134.6047578947    293629052.866189    8959.96132631579    80292333.0923368    8959.96132631579
    2.08333333333333   -16777.6778947368    281529579.647326    8776.76471578947    77047442.6589474    8776.76471578947
               2.125   -16365.4125894737    267874129.988884    8530.15835789474    72792715.9354105    8530.15835789474
    2.16666666666667   -15895.6663578947    252729772.012126   -8202.96905263158    67350375.2277895    8202.96905263158
    2.20833333333333   -15344.7079157895    235531595.267874   -7728.57101052632    59848515.2179789    7728.57101052632
                2.25   -14660.5483789474    215027709.480084   -6876.74532631579    47873049.4339789    6876.74532631579
    2.29166666666667   -13638.6961684211    186127969.518147   -1141.40275789474    17557048.2089684    3752.78006315789
    2.33333333333333   -12883.1643368421    166054514.047832    508.304631578947    5082737.26821053    1874.37305263158
               2.375   -12326.4488421053    152012113.223411    374.183663157895    2265318.32538947    1208.17574736842
    2.41666666666667   -11853.9482947368    140578355.986863   -27.2246947368421    1338284.58791579    925.773536842105
    2.45833333333333   -11439.5058947368    130919830.145516   -67.5541894736842    867341.071831579    740.514947368421
                 2.5   -11060.9286736842    122397347.013726    67.3714105263158    631148.095242105    640.700252631579
    2.54166666666667   -10715.5151578947    114872968.674863    24.3992421052632    472845.594526316             548.752
    2.58333333333333   -10403.9405894737    108290021.270063   -45.8891789473684    363034.526231579    482.862063157895
               2.625   -10107.0968842105    102199842.654147   -13.7798105263158    304617.786147368    439.669115789474
    2.66666666666667   -9837.38875789474    96818907.7657263    10.8058736842105    278115.272884211    422.645663157895
    2.70833333333333   -9586.09789473684    91936384.5377684    11.0953684210526    226545.814063158    379.931368421053
                2.75   -9350.61995789474    87476090.7567158   -12.9726526315789    202953.050821053            360.0076
    2.79166666666667   -9122.88871578947    83267628.5145263   -7.19296842105263    177873.465010526    335.282652631579
    2.83333333333333   -8915.56736842105    79527426.9290105    5.34698947368421          170232.264    329.382063157895
               2.875   -8713.20808421053    75958481.7131789   -10.8520421052632    152365.356294737    310.694989473684
    2.91666666666667   -8525.18858947368     72716823.122021    3.08151578947368    133842.987873684    292.384505263158
    2.95833333333333    -8342.8492631579    69640730.3804632   -10.4639789473684    125422.831115789    281.875431578947
