mc_iterations: 10000000 spin_matrix_dim: 80
                   T                 <E>              <E**2>                 <M>              <M**2>               <|M|>
                   2   -11171.5864716667     124822907.59918   -5832.43897520833    34022281.6960713    5832.43897520833
                2.01   -11124.3122304167    123769574.961512          5810.70646    33769659.3242067          5810.70646
                2.02   -11076.3250870833    122704956.664072    5788.30682145833    33510317.0104854    5788.30682145833
                2.03     -11026.46003125    121603544.773192   -5764.48624958333    33235641.8992783    5764.48624958333
                2.04   -10975.9163629167    120492242.186428   -5740.06695083333      32955262.27293    5740.06695083333
                2.05   -10923.0498804167    119335350.437898   -5713.58461145833    32652644.2603404    5713.58461145833
                2.06   -10869.6446620833    118172385.970528   -5686.49633958333    32344605.5472267    5686.49633958333
                2.07      -10813.6200275    116958518.495257   -5657.07364541667    32011736.0152292    5657.07364541667
                2.08   -10756.8129741667    115734131.252077    5626.69358083333    31669964.4438583    5626.69358083333
                2.09   -10697.6925204167    114466767.648722   -5593.96497833333    31303980.0266742    5593.96497833333
                 2.1   -10637.3688520833    113180827.742928    5559.99750166667    30926406.5894508    5559.99750166667
                2.11   -10574.2163754167    111842451.103095     -5522.731971875    30515147.9696363      5522.731971875
                2.12   -10510.1238920833    110492304.476855   -5484.38690354167    30094930.1255954    5484.38690354167
                2.13     -10442.71903875    109081293.091792    5441.85447895833    29632620.4313704    5441.85447895833
                2.14   -10373.8246758333     107648593.12449    5397.23053895833    29151753.4820246    5397.23053895833
                2.15       -10302.273585    106170613.361787    5349.05339895833    28637305.8674271    5349.05339895833
                2.16   -10227.8147641667    104643688.504563      5295.565338125    28072840.9364021      5295.565338125
                2.17   -10150.5545608333    103070912.560197      5237.948704375    27471298.3762496      5237.948704375
                2.18     -10069.93154375    101442630.671122   -5174.22391083333    26814916.3199058    5174.22391083333
                2.19      -9985.27767375    99747120.3443217    5101.79313729167    26081601.4649171    5101.79313729167
                 2.2   -9897.07921458333     97996078.406295   -5021.89128458333    25287937.8704175    5021.89128458333
                2.21         -9804.23618      96169989.53889   -4927.88179270833    24384420.9207354    4927.88179270833
                2.22      -9704.75375875     94232502.655885    4817.21322020833    23343679.1423896    4817.52937020833
                2.23   -9598.22894583333    92180657.8451267   -3742.91574270833    22118000.1985471      4681.601751875
                2.24   -9488.79058208333     90096079.547535   -2635.85468958333    20810489.0191958    4530.35578708333
                2.25   -9365.52835333333    87778060.7023867   -415.549403541667    19122277.0476429    4319.16679395833
                2.26   -9234.13394833333      85339972.58826    87.6911935416667    17145230.0879296    4054.58281854167
                2.27        -9087.664315      82662156.59711   -220.925374791667    14716080.1635604    3694.91943604167
                2.28   -8941.06870583333    80021352.6183133   -13.2332577083333    12281593.0061679    3308.29509229167
                2.29   -8786.29553083333    77275831.6478167       -69.146479375    9604044.32934792    2843.90344145833
                 2.3   -8647.07014333333      74843899.92173    93.7151860416667    7498959.93764375    2452.48437645833
                2.31          -8517.3257    72611218.2173467       -90.048993125    5720854.98321792      2080.250550625
                2.32         -8401.74694    70649856.9561467   -43.0496122916667    4436188.40347458    1797.09545770833
                2.33      -8294.40649125    68853158.8934983           2.5391325      3465734.043825    1559.97708541667
                2.34        -8193.206885       67180262.3385         -19.9721875    2680250.54630417    1353.15747166667
                2.35   -8103.03692041667     65708532.735085   -6.66119354166667    2229667.77823625      1227.154679375
                2.36   -8015.85661083333    64300829.4088667    7.10511333333333    1804582.71154583    1096.40746291667
                2.37   -7933.21881791667    62981278.7025783    8.42210708333333    1528380.53649583    1003.70598041667
                2.38   -7855.36784333333    61750664.9336033         -3.78625875    1329765.08921583    934.353935416667
                2.39   -7778.88528666667      60553748.12776  -0.248157708333333    1148451.60503042       865.465325625
                 2.4   -7706.03573833333    59424449.5592633    14.4097279166667    1008541.12772417        809.13572625
                2.41   -7635.00871833333      58333898.59621         0.966351875    894944.122469583       761.815059375
                2.42   -7565.88168916667    57282175.2482733            -6.07705    798042.387066667    718.821598333333
                2.43   -7498.98024041667    56273577.0054417             8.77005    714898.853164167        678.42171875
                2.44      -7434.62653375    55311597.1434417    6.80025729166667    650374.442905417    647.163001041667
                2.45        -7371.287185    54373236.1310433          -5.8992775      590674.1035425         616.9937725
                2.46   -7310.26622541667    53476728.9428917   0.435530208333333    544841.539212083    592.175342291667
                2.47   -7250.25410458333     52602265.084975   -2.21670708333333       498753.238085    565.839814166667
                2.48   -7191.42570916667    51752113.7102533  -0.693763333333333         462487.8172         545.0638125
                2.49   -7134.74207541667    50939548.3180017    2.14715479166667    431732.429075417       525.902894375
                 2.5       -7079.1231975    50148460.2492467   -3.25777458333333    401181.354258333           507.91903
                2.51   -7024.84091666667    49382337.8010933         1.813708125    377632.201867083    491.843090208333
                2.52      -6971.08692875    48629531.2339417   -2.05761708333333    352166.426000833    474.545097083333
                2.53   -6918.83050666667      47903292.54737   -2.47919208333333    332339.579728333        461.43315625
                2.54   -6867.84698041667    47200041.7291217   0.498401666666667    314581.748434167    448.338062916667
                2.55   -6817.47187541667     46510238.684805        -5.267241875    293760.808764583       433.425746875
                2.56   -6768.34205291667    45842392.7028717   0.352516666666667    278574.467651667        422.05862625
                2.57      -6720.09245625     45191196.015695 -0.0583204166666667    264724.886778333    411.485613333333
                2.58   -6672.76665916667    44556927.1942033  -0.316032291666667    251975.779999583    401.342861041667
                2.59      -6626.65223375    43943348.2389783   0.962372916666667    240008.979214167        391.49233375
